ipa	members
bun	boon boone
nɪɹɪŋ	knitting nearing
mɑɹɹə	mara marta
dui	dewey dui
uoʊ	ooo oooh
kævz	calves cavs
fɹænswɑ	francois françois
vɔn	vaughan vaughn
fɔɹtnaɪt	fortnight fortnite
ɡu	goo gu
dʒæks	jacks jax
pɑpjʊləs	populace populous
steɪsi	stacey stacy
oʊlsən	olsen olson
toʊd	toad towed
saʊ	sao são
dɑd	dod dodd
ɹɑmən	rahman ramen
fɪliz	phillies phyllis
ænti	ante auntie
məɡwaɪɚ	maguire mcguire
