phon	members
kom@se	commencer commencez commencé commencée commencées commencés
kom@te	commenter commentez commenté commentée commentées commentés
komynike	communiquer communiquez communiqué communiquée communiquées communiqués
k§paRe	comparer comparez comparé comparée comparées comparés
k§p@se	compenser compensez compensé compensée compensées compensés
k§plike	compliquer compliquez compliqué compliquée compliquées compliqués
k§plete	compléter complétez complété complétée complétées complétés
k§poze	composer composez composé composée composées composés
k§pRime	comprimer comprimez comprimé comprimée comprimées comprimés
k§t°RE	compterai compteraient compterais compterait conterai conterait
k§s@tRe	concentrer concentrez concentré concentrée concentrées concentrés
k§sERte	concerter concertez concerté concertée concertées concertés
k§dane	condamner condamnez condamné condamnée condamnées condamnés
k§fEksjone	confectionner confectionnez confectionné confectionnée confectionnées confectionnés
k§fje	confier confiez confié confiée confiées confiés
k§fiRme	confirmer confirmez confirmé confirmée confirmées confirmés
k§fiske	confisquer confisquez confisqué confisquée confisquées confisqués
k§fR§te	confronter confrontez confronté confrontée confrontées confrontés
k§feRe	conférer conférez conféré conférée conférées conférés
k§Z°le	congeler congelez congelé congelée congelées congelés
k§Zedje	congédier congédiez congédié congédiée congédiées congédiés
konEkte	connecter connectez connecté connectée connectées connectés
kony	connu connue connues connus connut connût
k§sakRe	consacrer consacrez consacré consacrée consacrées consacrés
k§s@ti	consenti consentie consenties consentis consentit consentît
k§sERve	conserver conservez conservé conservée conservées conservés
k§sideRe	considérer considérez considéré considérée considérées considérés
k§siNe	consigner consignez consigné consignée consignées consignés
k§sole	consoler consolez consolé consolée consolées consolés
k§some	consommer consommez consommé consommée consommées consommés
k§state	constater constatez constaté constatée constatées constatés
k§sylte	consulter consultez consulté consultée consultées consultés
k§syme	consumer consumez consumé consumée consumées consumés
k§takte	contacter contactez contacté contactée contactées contactés
k§t@ple	contempler contemplez contemplé contemplée contemplées contemplés
k§t@te	contenter contentez contenté contentée contentées contentés
k§tEste	contester contestez contesté contestée contestées contestés
k§tuRne	contourner contournez contourné contournée contournées contournés
k§tRakte	contracter contractez contracté contractée contractées contractés
k§tRaRje	contrarier contrariez contrarié contrariée contrariées contrariés
k§tRaste	contraster contrastez contrasté contrastée contrastées contrastés
k§tRole	contrôler contrôlez contrôlé contrôlée contrôlées contrôlés
k§vERti	converti convertie converties convertis convertit convertît
k§vje	convier conviez convié conviée conviées conviés
k§vwate	convoiter convoitez convoité convoitée convoitées convoités
k§voke	convoquer convoquez convoqué convoquée convoquées convoqués
koORdone	coordonner coordonnez coordonné coordonnée coordonnées coordonnés
kopje	copier copiez copié copiée copiées copiés
koRiZe	corriger corrigez corrigé corrigée corrigées corrigés
kOt	cote cotent cotes cotte cottes kot
kule	couler coulez coulé coulée coulées coulés
kupe	couper coupez coupé coupée coupées coupés
kup°RE	couperai couperaient couperais couperait couperet couperets
kuRbe	courber courbez courbé courbée courbées courbés
kuRy	couru courue courues courus courut courût
kuve	couver couvez couvé couvée couvées couvés
kute	coûter coûtez coûté coûtée coûtées coûtés
kRaS	crache crachent craches crash crashe crashes
kRame	cramer cramez cramé cramée cramées cramés
kR@pone	cramponner cramponnez cramponné cramponnée cramponnées cramponnés
kRik	creek creeks cric crics crique criques
kR2zE	creusai creusaient creusais creusait creuset creusets
kR2ze	creuser creusez creusé creusée creusées creusés
kR°ve	crever crevez crevé crevée crevées crevés
kRije	crier criez crié criée criées criés
kRitike	critiquer critiquez critiqué critiquée critiquées critiqués
kRwaze	croiser croisez croisé croisée croisées croisés
kRoke	croquer croquez croqué croquée croquées croqués
kRysifje	crucifier crucifiez crucifié crucifiée crucifiées crucifiés
kRee	créer créez créé créée créées créés
k8izine	cuisiner cuisinez cuisiné cuisinée cuisinées cuisinés
kyltive	cultiver cultivez cultivé cultivée cultivées cultivés
kable	câbler câblez câblé câblée câblées câblés
sede	céder cédez cédé cédée cédées cédés
dane	damner damnez damné damnée damnées damnés
date	dater datez daté datée datées datés
d°m@de	demander demandez demandé demandée demandées demandés
d°m9Re	demeurer demeurez demeuré demeurée demeurées demeurés
desine	dessiner dessinez dessiné dessinée dessinées dessinés
deseSe	dessécher desséchez desséché desséchée desséchées desséchés
destine	destiner destinez destiné destinée destinées destinés
d°vine	deviner devinez deviné devinée devinées devinés
dikte	dicter dictez dicté dictée dictées dictés
difyze	diffuser diffusez diffusé diffusée diffusées diffusés
difeR@sje	différencier différenciez différencié différenciée différenciées différenciés
difeRe	différer différez différé différée différées différés
