phon	members
sybZyge	subjuguer subjugué subjuguée subjuguées subjugués
syblime	sublimer sublimé sublimée sublimées sublimés
sybmERZe	submerger submergé submergée submergées submergés
sybORdone	subordonner subordonné subordonnée subordonnées subordonnés
syptilize	subtiliser subtilisé subtilisée subtilisées subtilisés
sybv@sjone	subventionner subventionné subventionnée subventionnées subventionnés
sykRe	sucrer sucré sucrée sucrées sucrés
syRE	suerai suerais suerait suret surets
syfoke	suffoquer suffoquez suffoqué suffoquée suffoqués
s8i	sui suie suies suis suit
s8ife	suifer suiffé suiffée suiffés suifés
syplisje	supplicier supplicié suppliciée suppliciées suppliciés
sypORte	supportez supporté supportée supportées supportés
syRSaRZe	surcharger surchargé surchargée surchargées surchargés
syREstime	surestimer surestimez surestimé surestimée surestimés
syREksite	surexciter surexcité surexcitée surexcitées surexcités
syRZ°le	surgeler surgelé surgelée surgelées surgelés
syRp9ple	surpeupler surpeuplé surpeuplée surpeuplées surpeuplés
syRveje	surveiller surveillé surveillée surveillées surveillés
syRvole	survoler survolez survolé survolée survolées
sysite	susciter suscité suscitée suscitées suscités
sysyRe	susurrer susurré susurrée susurrées susurrés
sekRete	sécréter sécrétez sécrété sécrétée sécrétés
sekEstRe	séquestrer séquestrez séquestré séquestrée séquestrés
tiS9Rt	t-shirt t-shirts tee-shirt tee-shirts ticheurte
tabase	tabasser tabassez tabassé tabassée tabassés
tako	tacauds taco tacos tacot tacots
taS°te	tacheter tacheté tachetée tachetées tachetés
tE	taie taies tais tait têt
tajE	taillaient taillais taillait taille-haie taille-haies
tER	taire ter terre terrent terres
tEz	taise taisent taises thèse thèses
tale	taler taller talée talées talés
t@pone	tamponner tamponnez tamponné tamponnée tamponnés
tane	tanner tanné tannée tannées tannés
t@t	tante tantes tente tentent tentes
tapi	tapi tapie tapies tapis tapit
tapise	tapisser tapissé tapissée tapissées tapissés
taRo	taraud tarauds taro tarot tarots
taRode	tarauder taraudé taraudée taraudées taraudés
taRi	tari tarie taries taris tarit
taRtine	tartiner tartinez tartiné tartinée tartinées
tatwe	tatouer tatoué tatouée tatouées tatoués
to	tau taux to tos tôt
takse	taxer taxez taxé taxée taxés
t5t	teinte teintent teintes tinte tintent
t@peRe	tempérer tempéré tempérée tempérées tempérés
tERni	terni ternie ternies ternis ternit
tERase	terrasser terrassé terrassée terrassées terrassés
te	tes thé thés té tés
tEst	test teste testent testes tests
tEt	tette tète tètent tête têtes
tRas	thrace thraces trace tracent traces
tik	tic tics tique tiquent tiques
t5bRe	timbrer timbré timbrée timbrées timbrés
tiR	tir tire tirent tires tirs
titRe	titrer titré titrée titrées titrés
tjedi	tiédi tiédie tiédies tiédis tiédit
twaze	toiser toisez toisé toisée toisés
tOm	tom tome tomes tomme tommes
tu	toue toues tout touts toux
tuje	touiller touillé touillée touillées touillés
tRak	trac tracs traque traquent traques
tRakase	tracasser tracassez tracassé tracassée tracassées
tRafik	trafic trafics trafique trafiquent trafiques
tRai	trahi trahie trahies trahis trahit
tRE	traie trais trait traits très
tRete	traiter traité traitée traitées traités
tRam	tram trame trament trames trams
tR@kilize	tranquilliser tranquillisez tranquillisé tranquillisée tranquillisés
tR@sbayte	transbahuter transbahutez transbahuté transbahutée transbahutés
tR@zi	transi transie transies transis transit
tR@sm8e	transmuer transmué transmuée transmuées transmués
tR@spl@te	transplanter transplanté transplantée transplantées transplantés
tR@spoze	transposer transposez transposé transposée transposés
tRakE	traquaient traquais traquait traquet traquets
tRomatize	traumatiser traumatisé traumatisée traumatisées traumatisés
tRavEsti	travesti travestie travesties travestis travestit
tRene	traîner traîné traînée traînées traînés
tRese	tresser tressé tressée tressées tressés
tRiSe	tricher trichez triché trichée trichées
tRiple	tripler triplé triplée triplées triplés
tRityRe	triturer trituré triturée triturées triturés
tR§ke	tronquer tronqué tronquée tronquées tronqués
tR§sone	tronçonner tronçonné tronçonnée tronçonnées tronçonnés
tRokE	troquaient troquais troquait troquet troquets
tRuse	trousser troussé troussée troussées troussés
tRyk	truc truck trucks trucs truque
tRyfe	truffer truffé truffée truffées truffés
tRebySE	trébuchai trébuchaient trébuchais trébuchait trébuchet
tRepase	trépasser trépassé trépassée trépassées trépassés
t8e	tuer tué tuée tuées tués
tymefje	tuméfier tuméfié tuméfiée tuméfiées tuméfiés
tytwaje	tutoyer tutoyez tutoyé tutoyée tutoyés
t8ijote	tuyauter tuyauté tuyautée tuyautées tuyautés
telekom@de	télécommander télécommandé télécommandée télécommandées télécommandés
telegide	téléguider téléguidé téléguidée téléguidées téléguidés
telefone	téléphoner téléphonez téléphoné téléphonées téléphonés
tetanize	tétaniser tétanisé tétanisée tétanisées tétanisés
yzine	usiner usiné usinée usinées usinés
yzyRpe	usurper usurpé usurpée usurpées usurpés
vaksine	vacciner vacciné vaccinée vaccinées vaccinés
vEn	vaine vaines veine veinent veines
valE	valaient valais valait valet valets
valone	vallonner vallonné vallonnée vallonnées vallonnés
valoRize	valoriser valorisez valorisé valorisée valorisés
valy	valu value values valut valût
van	van vanne vannent vannes vans
v@t	vante vantent vantes vente ventes
vaRje	varier varié variée variées variés
veje	veiller veillé veillée veillées veillés
v°lute	velouter velouté veloutée veloutées veloutés
vERdi	verdi verdie verdies verdis verdit
vERni	verni vernie vernies vernis vernit
vERnise	vernisser vernissé vernissée vernissées vernissés
vibRe	vibrer vibrez vibré vibrée vibrées
vis	vice vices vis visse vissent
vjOk	vioc viocque viocs vioque vioques
vjOl	viol viole violent violes viols
vjolase	violacer violacé violacée violacées violacés
vjolE	violaient violais violait violet violets
vitamine	vitaminer vitaminé vitaminée vitaminées vitaminés
vitRifje	vitrifier vitrifié vitrifiée vitrifiées vitrifiés
vOl	vol vole volent voles vols
volatilize	volatiliser volatilisé volatilisée volatilisées volatilisés
vomi	vomi vomie vomies vomis vomit
vwe	vouer voué vouée vouées voués
vute	voûter voûté voûtée voûtées voûtés
zj2t	zieute zieutent zieutes zyeute zyeutes
ziguje	zigouiller zigouillez zigouillé zigouillées zigouillés
zebRe	zébrer zébré zébrée zébrées zébrés
ebai	ébahi ébahie ébahies ébahis ébahit
eboSe	ébaucher ébauché ébauchée ébauchées ébauchés
eblui	ébloui éblouie éblouies éblouis éblouit
ebuj@te	ébouillanter ébouillanté ébouillantée ébouillantées ébouillantés
ebule	ébouler éboulé éboulée éboulées éboulés
ebuRife	ébouriffer ébouriffé ébouriffée ébouriffées ébouriffés
ebR@le	ébranler ébranlé ébranlée ébranlées ébranlés
ebReSe	ébrécher ébréché ébréchée ébréchées ébréchés
ekaRt°le	écarteler écartelé écartelée écartelées écartelés
eS@kRe	échancrer échancré échancrée échancrées échancrés
eS°lone	échelonner échelonné échelonnée échelonnées échelonnés
eS°v°le	écheveler échevelé échevelée échevelées échevelés
eSwe	échouer échoué échouée échouées échoués
eSy	échu échue échues échut échût
eklER	éclair éclaire éclairent éclaires éclairs
eklERsi	éclairci éclaircie éclaircies éclaircis éclaircit
ekleRe	éclairer éclairé éclairée éclairées éclairés
ekORne	écorner écorné écornée écornées écornés
ekule	écouler écoulé écoulée écoulées écoulés
ekuRte	écourter écourté écourtée écourtées écourtés
ekRabuje	écrabouiller écrabouillé écrabouillée écrabouillées écrabouillés
ekRiRE	écrierait écrirai écriraient écrirais écrirait
ekRule	écrouler écroulé écroulée écroulées écroulés
ekyle	éculer éculé éculée éculées éculés
edifje	édifier édifié édifiée édifiées édifiés
edite	éditer édité éditée éditées édités
egeje	égailler égaillée égaillées égaillés égayer
egalize	égaliser égalisez égalisé égalisées égalisés
egaR	égard égards égare égarent égares
egEje	égayez égayé égayée égayées égayés
egR°ne	égrener égrené égrenée égrenées égrenés
elaboRe	élaborer élaboré élaborée élaborées élaborés
el@se	élancer élancé élancée élancées élancés
elEktRifje	électrifier électrifié électrifiée électrifiées électrifiés
elEktRokyte	électrocuter électrocutez électrocuté électrocutée électrocutés
elime	élimer élimé élimée élimées élimés
ely	élu élue élues élus élut
elyside	élucider élucidé élucidée élucidées élucidés
elyde	éluder éludez éludé éludée éludées
emaje	émailler émaillé émaillée émaillées émaillés
em@sipe	émanciper émancipé émancipée émancipées émancipés
emane	émaner émané émanée émanées émanés
emaskyle	émasculer émasculé émasculée émasculées émasculés
emERZe	émerger émergé émergée émergées émergés
emERveje	émerveiller émerveillé émerveillée émerveillées émerveillés
emuse	émousser émoussé émoussée émoussées émoussés
emustije	émoustiller émoustillé émoustillée émoustillées émoustillés
en§se	énoncer énoncé énoncée énoncées énoncés
epate	épater épatez épaté épatée épatés
ep°Rone	éperonner éperonnez éperonné éperonnée éperonnés
epi	épi épie épient épies épis
eplwaje	éployer éployé éployée éployées éployés
ep§Ze	éponger épongez épongé épongée épongés
epyRe	épurer épuré épurée épurées épurés
ekilibRe	équilibrer équilibré équilibrée équilibrées équilibrés
eRaje	érailler éraillé éraillée éraillées éraillés
eR5te	éreinter éreinté éreintée éreintées éreintés
eRiZe	ériger érigé érigée érigées érigés
eRode	éroder érodé érodée érodées érodés
etE	étai étaie étaient étais était
et5	étain étains éteins éteint éteints
etal	étal étale étalent étales étals
et@	étang étangs étant étend étends
etERnize	éterniser éternisez éternisé éternisée éternisés
etofe	étoffer étoffé étoffée étoffées étoffés
etuRdi	étourdi étourdie étourdies étourdis étourdit
evak8e	évacuer évacué évacuée évacuées évacués
eval8e	évaluer évalué évaluée évaluées évalués
evapoRe	évaporer évaporé évaporée évaporées évaporés
evaze	évaser évasé évasée évasées évasés
evEj	éveil éveille éveillent éveilles éveils
eveje	éveiller éveillé éveillée éveillées éveillés
evide	évider évidé évidée évidées évidés
ev5se	évincer évincez évincé évincée évincés
evol8e	évoluer évolué évoluée évoluées évolués
abEs°RE	abaisserai abaisseraient abaisserais abaisserait
ab@donE	abandonnai abandonnaient abandonnais abandonnait
ab@dOn°RE	abandonnerai abandonneraient abandonnerais abandonnerait
abatRE	abattrai abattraient abattrais abattrait
abaty	abattu abattue abattues abattus
abdikE	abdiquai abdiquaient abdiquais abdiquait
abdike	abdiquer abdiquez abdiqué abdiquée
abZEkt	abject abjecte abjectes abjects
ab§dE	abondai abondaient abondais abondait
abORdE	abordai abordaient abordais abordait
abORd°RE	aborderai aborderaient aborderais aborderait
abuSe	aboucher abouché abouchée abouchés
abuti	abouti aboutie aboutis aboutit
abutiRE	aboutirai aboutiraient aboutirais aboutirait
abRitE	abritai abritaient abritais abritait
abRypt	abrupt abrupte abruptes abrupts
aps@tE	absentai absentaient absentais absentait
aps@te	absenter absenté absentée absentés
apsoly	absolu absolue absolues absolus
apsORbE	absorbai absorbaient absorbais absorbait
apst°ny	abstenu abstenue abstenues abstenus
apstj5dRE	abstiendrai abstiendraient abstiendrais abstiendrait
abyzE	abusai abusaient abusais abusait
abim	abyme abîme abîment abîmes
abeti	abêti abêties abêtis abêtit
akablE	accablai accablaient accablais accablait
aks@t8E	accentuai accentuaient accentuais accentuait
aksEptE	acceptai acceptaient acceptais acceptait
aksEpt°RE	accepterai accepteraient accepterais accepterait
aksid@tEl	accidentel accidentelle accidentelles accidentels
aklimate	acclimater acclimatez acclimaté acclimatés
akomodE	accommodai accommodaient accommodais accommodait
akomode	accommoder accommodé accommodée accommodés
akomOd°RE	accommoderai accommoderaient accommoderais accommoderait
ak§paNE	accompagnai accompagnaient accompagnais accompagnait
ak§paN°RE	accompagnerai accompagneraient accompagnerais accompagnerait
ak§pliRE	accomplirai accompliraient accomplirais accomplirait
akORdE	accordai accordaient accordais accordait
akORd°RE	accorderai accorderaient accorderais accorderait
akudE	accoudai accoudaient accoudais accoudait
akutymE	accoutumai accoutumaient accoutumais accoutumait
akRo	accro accroc accrocs accros
akRoSE	accrochai accrochaient accrochais accrochait
akROS°RE	accrocherai accrocheraient accrocherais accrocherait
akRedite	accréditer accrédité accréditée accrédités
akymylE	accumulai accumulaient accumulais accumulait
akyzE	accusai accusaient accusais accusait
aksedE	accédai accédaient accédais accédait
aksed°RE	accéderai accéderaient accéderais accéderait
akseleRE	accélérai accéléraient accélérais accélérait
aSal@de	achalandé achalandée achalandées achalandés
aSaRnE	acharnai acharnaient acharnais acharnait
aS°tE	achetai achetaient achetais achetait
aS°vE	achevai achevaient achevais achevait
