src	dst	hops	quality	chain
been	oú	5	0.949	en:been ~ en:was ≈ fr:ose ~ fr:ou ≈ en:ooh ~ fr:oú
been	ou	3	0.929	en:been ~ en:was ≈ fr:ose ~ fr:ou
bees	leaders	6	0.951	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise ~ fr:lient aise ≈ en:leaders ~ fr:leaders
bees	pertes	6	0.949	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise ~ fr:las aise ≈ en:losses = fr:pertes
bees	dirigeants	6	0.948	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise ~ fr:lient aise ≈ en:leaders ~ fr:dirigeants
beet	beat	4	0.989	en:beet ≈ fr:bite ~ fr:bites ≈ en:beat ~ fr:beat
beet	battez	4	0.977	en:beet ≈ fr:bite ~ fr:bites ≈ en:beat = fr:battez
beet	battu	4	0.977	en:beet ≈ fr:bite ~ fr:bites ≈ en:beat = fr:battu
beetle	êtes	6	0.947	en:beetle ≈ fr:but elle ~ fr:ries elle ≈ en:resell ~ en:reseal ≈ fr:ries il ~ fr:êtes
beetle	sis ès	6	0.946	en:beetle ≈ fr:but elle ~ fr:ries elle ≈ en:resell ~ en:reseal ≈ fr:ries il ~ fr:sis ès
beetle	aise	6	0.920	en:beetle ≈ fr:but elle ~ fr:propos elle ≈ en:proposal ~ en:proposes ≈ fr:propos aise ~ fr:aise
beetroot	root	6	0.975	en:beetroot ≈ fr:but route ~ fr:routes ≈ en:route ~ fr:route ≈ en:root ~ fr:root
beetroot	racines	6	0.966	en:beetroot ≈ fr:but route ~ fr:routes ≈ en:route ~ fr:route ≈ en:root = fr:racines
beetroot	racine	6	0.966	en:beetroot ≈ fr:but route ~ fr:routes ≈ en:route ~ fr:route ≈ en:root = fr:racine
beg	ruches	2	0.974	en:beg ≈ fr:bègue ~ fr:ruches
believers	bols	2	0.855	en:believers ≈ fr:blés aise ~ fr:bols
bell	boris	6	0.948	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:bolide ~ fr:boris
bell	bolide	5	0.944	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:bolide
bell	belles	3	1.000	en:bell ≈ fr:belle ~ en:belle ≈ fr:belles
belle	boris	6	0.948	en:belle ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:bolide ~ fr:boris
belle	bolide	5	0.944	en:belle ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:bolide
belle	bell	3	1.000	en:belle ~ fr:belle ≈ en:bell ~ fr:bell
bellied	boris	2	0.949	en:bellied ≈ fr:bolide ~ fr:boris
bellies	boris	3	0.946	en:bellies ~ en:bellied ≈ fr:bolide ~ fr:boris
bellies	bolide	2	0.936	en:bellies ~ en:bellied ≈ fr:bolide
belling	mail	2	0.943	en:belling ≈ fr:mailing ~ fr:mail
belling	courrier	2	0.933	en:belling ≈ fr:mailing ~ fr:courrier
belly	mensonge	2	0.937	en:belly ≈ fr:bey lies ~ fr:mensonge
belly	lies	2	0.935	en:belly ≈ fr:bey lies ~ fr:lies
ben	saisis	2	0.982	en:ben ≈ fr:bennes ~ fr:saisis
ben	lien	2	0.955	en:ben ≈ fr:benne ~ fr:lien
bender	bénéfice	4	0.962	en:bender ≈ fr:ben des ~ fr:ben faites ≈ en:benefit = fr:bénéfice
bender	avantage	4	0.962	en:bender ≈ fr:ben des ~ fr:ben faites ≈ en:benefit = fr:avantage
bender	prestation	4	0.962	en:bender ≈ fr:ben des ~ fr:ben faites ≈ en:benefit = fr:prestation
bending	center	4	0.965	en:bending ≈ fr:ben digne ~ fr:sain tes ≈ en:center ~ fr:center
bending	centre	4	0.965	en:bending ≈ fr:ben digne ~ fr:sain tes ≈ en:centre ~ fr:centre
bending	semestre	4	0.950	en:bending ≈ fr:ben digne ~ fr:sommets tes ≈ en:semester = fr:semestre
benefit	ben des	2	0.961	en:benefit ≈ fr:ben faites ~ fr:ben des
benefit	bene	2	0.955	en:benefit ≈ fr:ben faites ~ fr:bene
benny	bénir	2	0.979	en:benny ≈ fr:béni ~ fr:bénir
benny	bénis	2	0.977	en:benny ≈ fr:béni ~ fr:bénis
benny	bénin	2	0.975	en:benny ≈ fr:béni ~ fr:bénin
berry	rient rive	6	0.973	en:berry ≈ fr:bey rient ~ fr:rient ailé ≈ en:retailer ~ en:retailers ≈ fr:rient hélas ~ fr:rient rive
berry	store	6	0.973	en:berry ≈ fr:bey rient ~ fr:rient ailé ≈ en:retailer ~ en:store ≈ fr:stores ~ fr:store
berry	rient chie	6	0.969	en:berry ≈ fr:bey rient ~ fr:rient ailé ≈ en:retailer ~ en:retailers ≈ fr:rient hélas ~ fr:rient chie
bet	palestinien	6	0.935	en:bet ≈ fr:bettes ~ en:betting ≈ fr:paient in ~ en:pallet in ≈ fr:palestine ~ fr:palestinien
bet	nourrir	6	0.928	en:bet ≈ fr:bettes ~ en:betting ≈ fr:paient in ~ fr:fient in ≈ en:feeding = fr:nourrir
bet	nourrissant	6	0.920	en:bet ≈ fr:bettes ~ en:betting ≈ fr:paient in ~ fr:fient in ≈ en:feeding ~ fr:nourrissant
betta	bet	4	0.985	en:betta ≈ fr:bêta ~ fr:bêtes ≈ en:bet ~ fr:bet
betta	pari	4	0.972	en:betta ≈ fr:bêta ~ fr:bêtes ≈ en:bet = fr:pari
betta	parie	4	0.972	en:betta ≈ fr:bêta ~ fr:bêtes ≈ en:bet = fr:parie
betting	pâle	5	0.928	en:betting = fr:pari ≈ en:parry ~ en:parley ≈ fr:pâli ~ fr:pâle
betting	pédale	5	0.920	en:betting = fr:pari ≈ en:parry ~ en:parley ≈ fr:pâli ~ fr:pédale
