ipa	members
mateɹjɛl	matériel matérielle matérielles matériels
nɔme	nommer nommé nommée nommés
ubli	oubli oublie oublient oublies
ɔbliʒe	obliger obligé obligée obligés
ʒeɹe	gérer géré gérée gérés
sove	sauver sauvé sauvée sauvés
ʒoli	joli jolie jolies jolis
pɹofɛsjɔnɛl	professionnel professionnelle professionnelles professionnels
isy	issu issue issues issus
kle	clef clefs clé clés
nɛt	net nets nette nettes
dispaɹy	disparu disparue disparues disparus
bal	bal balle balles bâle
esɑ̃sjɛl	essentiel essentielle essentielles essentiels
ɛ̃vite	inviter invité invitée invités
ɹəkɔny	reconnu reconnue reconnues reconnus
blɛse	blesser blessé blessée blessés
fi	fi fie fis fit
vɑ̃dy	vendu vendue vendues vendus
sakɹe	sacré sacrée sacrées sacrés
vote	voter votez voté votée
kas	cass casse cassent casses
kɔ̃dane	condamner condamné condamnée condamnés
ɹətiɹe	retirer retiré retirée retirés
tiɹ	tir tire tirent tirs
sɛɹvi	servi servie servis servit
deziɹ	désir désire désirent désirs
ɑ̃lve	enlever enlevé enlevée enlevés
atake	attaquer attaqué attaquée attaqués
poz	pause pauses posent poses
apyi	appui appuie appuient appuis
kyltyɹɛl	culturel culturelle culturelles culturels
maʒœɹ	majeur majeure majeures majeurs
mɛn	maine men mène mènent
taʃ	tache taches tâche tâches
potɑ̃sjɛl	potentiel potentielle potentielles potentiels
ɹəmaɹke	remarquer remarquez remarqué remarquée
aʃɛt	achète achètent achètes hachette
ɡɹɛk	grec grecque grecques grecs
pyɹ	pur pure pures purs
dɛstine	destiné destinée destinées destinés
akyze	accuser accusé accusée accusés
ɛ̃dystɹiɛl	industriel industrielle industrielles industriels
ɹate	rater raté ratée ratés
sɛksyɛl	sexuel sexuelle sexuelles sexuels
fɹape	frapper frappé frappée frappés
ɛ̃kɔny	inconnu inconnue inconnues inconnus
kɔ̃sy	conçu conçue conçues conçus
atiɹe	attirer attiré attirée attirés
baze	basé basée basées basés
kase	casser cassé cassée cassés
kɔl	col cole colle cols
lu	lou loue loup loups
aj	ail aille aillent aïe
amɑ̃d	amande amandes amende amendes
amne	amener amené amenée amenés
sɑ̃se	censé censée censés sensé
tɹɑ̃sfɔɹme	transformer transformé transformée transformés
anyɛl	annuel annuelle annuelles annuels
ny	nu nue nues nus
apɹesje	apprécier apprécié appréciée appréciés
ɛ̃feɹjœɹ	inférieur inférieure inférieures inférieurs
kɔ̃paɹe	comparer comparez comparé comparée
ɛstime	estimer estimé estimée estimés
fɔɹse	forcer forcé forcée forcés
finɑ̃se	financer financé financée financés
kɔ̃sylte	consulter consultez consulté consultés
kɔ̃fiɹme	confirmer confirmé confirmée confirmés
deplase	déplacer déplacé déplacée déplacés
minœɹ	mineur mineure mineures mineurs
ɹəlve	relever relevé relevée relevés
ɹɔ̃	rompt ron rond ronds
aa	aa aah ahah haha
ɛksɛpsjɔnɛl	exceptionnel exceptionnelle exceptionnelles exceptionnels
tɹɔ̃pe	tromper trompé trompée trompés
aʒe	âgé âgée âgées âgés
ataʃe	attacher attaché attachée attachés
bit	bit bite bites bits
