word	variant	zipf
matters	mattered	3.53
mattress	mattressed	0.00
mattress	mattresses	3.11
mattress	mattressing	0.00
mature	matures	2.92
mature	matured	3.37
mature	maturing	3.12
mature	maturer	1.23
mature	maturest	0.00
measured	measures	4.67
measured	measure	4.65
measured	measuring	4.07
measures	measure	4.65
measures	measuring	4.07
measures	measured	4.25
meatball	meatballs	3.20
medal	medals	3.98
medicine	medicines	3.77
meet eek	met eek	5.09
meet eek	meeting eek	5.15
meet eek	meets eek	4.36
menace	menaces	2.23
menace	menacing	3.18
menace	menaced	2.29
menaced	menaces	2.23
menaced	menace	3.54
menaced	menacing	3.18
mender	menders	1.37
mention	mentioned	4.83
mention	mentions	4.09
mention	mentioning	3.75
mentor	mentored	2.86
mentor	mentoring	3.33
mentor	mentors	3.29
merger	mergers	3.43
merry	merrier	2.64
merry	merriest	1.44
messenger	messengers	3.14
messes	messed	4.01
messes	messing	3.82
messes	mess	4.57
messing	messed	4.01
messing	messes	3.23
messing	mess	4.57
messy	messiest	1.78
messy	messier	2.80
metal	metals	3.95
metal	metalling	0.00
metal	metaled	0.00
metal	metaling	0.00
metal	metalled	1.54
method	methods	4.68
metric	metrics	3.51
mistress	mistresses	2.93
misty	mistiest	0.00
misty	mistier	0.00
modern	moderns	2.24
modern	moderner	1.44
modern	modernest	0.00
monitored	monitors	3.82
monitored	monitoring	4.34
monitored	monitor	4.37
monopoly	monopolies	3.10
monster	monsters	4.17
monsters	monster	4.49
monthly	monthlies	1.79
moody	moodiest	1.06
moody	moodier	1.51
moot ash	moot ashed	1.48
moot ash	moot ashes	3.93
moot ash	moots ash	1.75
moot ash	mooted ash	2.54
moot ash	moot ashing	1.46
moot ash	mooting ash	1.57
morning	mornings	3.66
mortality	mortalities	1.88
mothers	mothering	2.62
mothers	mother	5.24
mothers	mothered	1.87
mourning	mourns	2.77
mourning	mourn	3.43
mourning	mourned	2.88
mourning	mournings	0.00
movie	movies	4.79
murdered	murdering	3.72
murdered	murder	4.86
murdered	murders	4.05
murders	murdering	3.72
murders	murder	4.86
murders	murdered	4.32
mysteries	mystery	4.45
needed	needing	4.02
needed	need	5.97
needed	needs	5.37
needing	needed	5.18
needing	need	5.97
needing	needs	5.37
needle	needles	3.70
needle	needling	2.24
needle	needled	1.82
network	networks	4.45
network	networked	2.98
network	networking	3.94
networks	networked	2.98
networks	networking	3.94
networks	network	5.02
obsessed	obsesses	2.13
obsessed	obsess	2.90
obsessed	obsessing	2.99
offended	offend	3.57
offended	offends	2.99
offended	offending	3.43
offender	offenders	3.79
onset	onsets	1.72
opportunity	opportunities	4.61
orchestra	orchestras	2.97
orgasm	orgasms	3.19
origin	origins	4.04
ought eel	ought eels	3.18
ought rally	ought rallies	3.64
ought rally	ought rallied	3.27
ought rally	ought rallying	3.24
pallet in	pallets in	2.97
pallet inner	pallets inner	2.97
panties	pantie	1.56
panties	panty	2.97
parcel	parcelled	1.70
parcel	parcels	3.36
parcel	parcelling	1.27
parcel	parceling	1.34
parcel	parceled	1.84
pardon	pardoned	3.11
pardon	pardoning	2.42
pardon	pardons	2.92
partner	partnered	3.53
partner	partners	4.56
partner	partnering	3.34
partners	partnered	3.53
partners	partner	4.84
partners	partnering	3.34
passes	passing	4.63
passes	pass	5.05
passes	passed	4.92
passport	passports	3.52
pasta	pastae	0.00
pasta	pastas	2.36
pastor	pastors	3.33
pastor	pastored	1.65
pastor	pastoring	1.52
pattern	patterning	2.74
pattern	patterned	3.25
pattern	patterns	4.41
peat olla	peats olla	2.07
penalties	penalty	4.45
penalty	penalties	4.08
pencil	penciling	1.66
pencil	pencils	3.39
pencil	pencilled	2.21
pencil	penciled	2.31
pencil	pencilling	1.52
penguin	penguins	3.67
penny	pennies	3.35
penny	pence	3.66
perform	performed	4.68
perform	performs	3.97
perform	performing	4.56
performer	performers	3.88
personalities	personality	4.55
perspective	perspectives	3.89
pet acid	petted acid	2.43
pet acid	pets acid	4.08
pet acid	petting acid	3.05
pet acid	pet acids	3.85
peters	peter	4.88
peters	petered	2.23
peters	petering	1.60
picture	pictured	3.79
picture	picturing	2.94
picture	pictures	4.92
pieces	pieced	2.77
pieces	piecing	2.67
pieces	piece	5.04
pistol	pistols	3.46
pitcher	pitchers	3.44
piton	pitons	1.80
pixel	pixels	3.49
pizza	pizzas	3.34
planted	plant	4.89
planted	planting	3.81
planted	plants	4.71
planting	plant	4.89
planting	plantings	2.85
planting	plants	4.71
planting	planted	4.04
platform	platforms	4.19
pleaded	pleads	3.16
