word	variant	zipf
bidets	bidet	2.80
bielle	bielles	2.34
bielles	bielle	2.45
biffe	biffer	1.85
biffe	biffé	1.63
biffer	biffe	1.88
biffer	biffé	1.63
biffer	biffaient	0.00
biffes	biffe	1.88
bighorn	bighorns	0.00
bighorns	bighorn	1.72
bijou	bijoux	4.26
bikini	bikinis	2.47
bikinis	bikini	3.40
bild	bilder	2.03
bine	biner	1.79
bine	biné	0.00
biner	bine	2.52
biner	biné	0.00
bines	bine	2.52
biographies	biographie	3.87
bip	bips	2.41
bip	biper	2.17
bip	bipe	2.02
bip	bipé	1.77
bip	bipez	1.19
bip	bipes	1.01
bip	bipés	0.00
bip	bipée	0.00
bipe	biper	2.17
bipe	bipé	1.77
bipe	bipez	1.19
bipe	bipes	1.01
biper	bipe	2.02
biper	bipé	1.77
biper	bipez	1.19
biper	bipes	1.01
biper	bipés	0.00
biper	bipée	0.00
biper	biperai	0.00
biper	biperait	0.00
bipes	bipe	2.02
bips	bip	3.52
bipé	bipés	0.00
bipé	bipée	0.00
bipés	bipé	1.77
bique	biques	1.32
biques	bique	2.21
bis	bi	3.95
bis	bise	3.45
bis	bises	3.33
bis	bisons	2.92
bise	bises	3.33
bises	bise	3.45
bisons	bison	3.19
bisque	bisques	0.00
bisque	bisquent	0.00
bisques	bisque	2.08
bistro	bistros	1.92
bistros	bistro	3.07
bistrot	bistrots	2.66
bistrots	bistrot	3.26
bit	bite	4.24
bit	bites	3.52
bit	bits	3.46
bit	bitent	0.00
bitche	bitches	2.38
bitches	bitche	2.56
bite	bites	3.52
bite	bitent	0.00
bites	bite	4.24
bits	bit	3.44
bitte	bitter	2.41
bitte	bittes	1.67
bitter	bitte	2.48
bitter	bittes	1.67
bittes	bitte	2.48
black	blacks	3.44
blacklist	blacklisté	2.02
blacks	black	4.58
blad	blade	3.29
blad	blades	2.30
blade	blades	2.30
blades	blade	3.29
blague	blagues	4.13
blague	blaguer	2.78
blague	blagué	2.38
blague	blaguait	2.10
blague	blaguez	2.05
blague	blaguent	1.76
blagues	blague	4.64
blair	blairer	2.77
blair	blaire	1.93
blair	blairait	0.00
blair	blairs	0.00
