word	variant	zipf
benchmarked	benchmarking	2.74
benchmarking	benchmark	3.60
benchmarking	benchmarks	3.27
benchmarking	benchmarked	2.06
benchmarks	benchmark	3.60
benchmarks	benchmarking	2.74
benchmarks	benchmarked	2.06
bend	bent	3.99
bend	bending	3.68
bend	bends	3.34
bend	bended	2.30
bended	bend	4.13
bended	bent	3.99
bended	bending	3.68
bended	bends	3.34
bender	benders	2.48
benders	bender	3.40
bending	bend	4.13
bending	bent	3.99
bending	bends	3.34
bending	bended	2.30
bends	bend	4.13
bends	bent	3.99
bends	bending	3.68
bends	bended	2.30
bent	bend	4.13
bent	bending	3.68
bent	bends	3.34
bent	bended	2.30
bent	bents	1.71
bents	bent	3.99
berried	berry	3.97
berried	berries	3.57
berried	berrying	0.00
berries	berry	3.97
berries	berried	1.68
berries	berrying	0.00
berry	berries	3.57
berry	berried	1.68
berry	berrying	0.00
berrying	berry	3.97
berrying	berries	3.57
berrying	berried	1.68
best	good	6.12
best	well	6.03
best	better	5.76
best	goods	4.60
best	wells	4.25
best	bested	2.72
best	welling	2.72
best	bests	2.59
best	welled	2.29
best	besting	2.28
bested	best	5.84
bested	bests	2.59
bested	besting	2.28
besting	best	5.84
besting	bested	2.72
besting	bests	2.59
bests	best	5.84
bests	bested	2.72
bests	besting	2.28
bet	betting	4.00
bet	bets	3.85
bet	betted	1.67
bets	bet	4.79
bets	betting	4.00
bets	betted	1.67
betted	bet	4.79
betted	betting	4.00
betted	bets	3.85
better	good	6.12
better	well	6.03
better	best	5.84
better	goods	4.60
better	wells	4.25
better	bettering	2.78
better	welling	2.72
better	bettered	2.54
better	betters	2.48
better	welled	2.29
betting	bet	4.79
betting	bets	3.85
betting	betted	1.67
bid	bids	3.87
bid	bidding	3.81
bid	bade	2.68
bid	bidden	1.84
bidet	bidets	1.92
bidets	bidet	2.58
big	biggest	4.93
big	bigger	4.74
bigger	big	5.67
bigger	biggest	4.93
bighorn	bighorns	1.53
bighorns	bighorn	2.63
bikini	bikinis	2.96
bikinis	bikini	3.70
billy	billies	1.73
billy	billys	1.45
bin	bins	3.43
bin	binned	2.40
bin	binning	2.30
biography	biographies	3.23
bit	bite	4.31
bit	bits	4.18
bit	bites	3.79
bit	biting	3.77
bit	bitten	3.49
bitch	bitches	3.84
bitch	bitching	3.19
bitch	bitched	2.45
bite	bit	5.37
bite	bites	3.79
bite	biting	3.77
bite	bitten	3.49
bites	bit	5.37
bites	bite	4.31
bites	biting	3.77
bites	bitten	3.49
black	blacks	4.15
black	blacked	3.26
black	blackest	2.69
black	blacker	2.66
black	blacking	2.57
blacked	black	5.46
blacked	blacks	4.15
blacked	blackest	2.69
blacked	blacker	2.66
blacked	blacking	2.57
blacker	black	5.46
blacker	blacks	4.15
blacker	blacked	3.26
blacker	blackest	2.69
blacker	blacking	2.57
blacking	black	5.46
blacking	blacks	4.15
blacking	blacked	3.26
blacking	blackest	2.69
blacking	blacker	2.66
blacklist	blacklisted	2.99
blacklist	blacklisting	2.43
blacklist	blacklists	2.12
blacklisted	blacklist	3.13
blacklisted	blacklisting	2.43
blacklisted	blacklists	2.12
blacklisting	blacklist	3.13
blacklisting	blacklisted	2.99
blacklisting	blacklists	2.12
blacklists	blacklist	3.13
blacklists	blacklisted	2.99
blacklists	blacklisting	2.43
blacks	black	5.46
blacks	blacked	3.26
blacks	blackest	2.69
blacks	blacker	2.66
blacks	blacking	2.57
blame	blamed	3.90
blame	blaming	3.88
blame	blames	3.55
blamed	blame	4.63
blamed	blaming	3.88
blamed	blames	3.55
blames	blame	4.63
blames	blamed	3.90
blames	blaming	3.88
blank	blanks	3.26
blank	blanked	2.55
blank	blanking	2.43
bleat	bleating	2.40
bleat	bleats	1.63
bleat	bleated	1.52
bleated	bleating	2.40
bleated	bleat	2.12
bleated	bleats	1.63
bleats	bleating	2.40
bleats	bleat	2.12
bleats	bleated	1.52
bled	bleeding	4.08
bled	bleed	3.72
bled	bleeds	3.04
bleeding	bleed	3.72
bleeding	bled	3.21
bleeding	bleeds	3.04
bleeding	bleedings	1.34
blend	blended	3.50
blend	blending	3.44
blend	blends	3.34
blend	blent	1.28
bless	blessed	4.23
bless	blessing	4.06
bless	blesses	2.61
bless	blest	2.16
blessed	bless	4.17
blessed	blessing	4.06
blessed	blesses	2.61
blessed	blest	2.16
blesses	blessed	4.23
blesses	bless	4.17
blesses	blessing	4.06
blesses	blest	2.16
blessing	blessed	4.23
blessing	bless	4.17
blessing	blessings	3.75
blessing	blesses	2.61
blessing	blest	2.16
blessings	blessing	4.06
blest	blessed	4.23
blest	bless	4.17
blest	blessing	4.06
blest	blesses	2.61
blew	blow	4.59
blew	blown	4.21
blew	blowing	4.20
blew	blows	4.04
blip	blips	2.38
blitz	blitzed	2.37
blitz	blitzing	2.21
blitz	blitzes	2.05
blitzed	blitz	3.57
blitzed	blitzing	2.21
blitzed	blitzes	2.05
blitzes	blitz	3.57
blitzes	blitzed	2.37
blitzes	blitzing	2.21
blitzing	blitz	3.57
blitzing	blitzed	2.37
blitzing	blitzes	2.05
bloc	blocs	2.68
blonde	blondes	3.00
blonde	blonder	1.93
blonde	blondest	0.00
blonder	blonde	4.04
blonder	blond	3.55
blonder	blondes	3.00
blonder	blonds	2.16
blonder	blondest	0.00
blondes	blonde	4.04
blondes	blonder	1.93
blondes	blondest	0.00
blood	blooded	3.34
blood	bloods	3.03
blood	blooding	1.60
bloom	blooming	3.33
bloom	blooms	3.33
bloom	bloomed	2.66
bloomed	bloom	3.93
bloomed	blooms	3.33
bloomed	blooming	3.33
blooming	bloom	3.93
blooming	blooms	3.33
blooming	bloomed	2.66
blooms	bloom	3.93
blooms	blooming	3.33
blooms	bloomed	2.66
blot	blotting	2.54
blot	blotted	2.32
blot	blots	2.30
blots	blot	3.03
blots	blotting	2.54
blots	blotted	2.32
blotted	blot	3.03
blotted	blotting	2.54
blotted	blots	2.30
blotting	blot	3.03
blotting	blotted	2.32
blotting	blots	2.30
blotting	blottings	0.00
blow	blown	4.21
blow	blowing	4.20
blow	blew	4.12
blow	blows	4.04
blue	blues	4.34
blue	blued	2.15
blue	bluing	1.82
blue	blueing	1.23
blue	blueer	0.00
blue	blueest	0.00
blued	blue	5.13
blued	blues	4.34
blued	bluing	1.82
blued	blueing	1.23
blued	blueer	0.00
blued	blueest	0.00
blueer	blue	5.13
blueer	blues	4.34
blueer	blued	2.15
blueer	bluing	1.82
blueer	blueing	1.23
blueer	blueest	0.00
blueest	blue	5.13
blueest	blues	4.34
blueest	blued	2.15
blueest	bluing	1.82
blueest	blueing	1.23
blueest	blueer	0.00
blueing	blue	5.13
blueing	blues	4.34
blueing	blued	2.15
blueing	bluing	1.82
blueing	blueer	0.00
blueing	blueest	0.00
blues	blue	5.13
blues	blued	2.15
blues	bluing	1.82
blues	blueing	1.23
blues	blueer	0.00
blues	blueest	0.00
bluff	bluffs	3.00
bluff	bluffing	2.76
bluff	bluffed	1.85
bluffed	bluff	3.58
bluffed	bluffs	3.00
bluffed	bluffing	2.76
bluffing	bluff	3.58
bluffing	bluffs	3.00
bluffing	bluffed	1.85
bluffs	bluff	3.58
bluffs	bluffing	2.76
bluffs	bluffed	1.85
bluing	blue	5.13
bluing	blues	4.34
bluing	blued	2.15
bluing	blueing	1.23
bluing	blueer	0.00
bluing	blueest	0.00
board	boards	4.31
board	boarding	3.96
board	boarded	3.47
boarded	board	5.24
boarded	boards	4.31
boarded	boarding	3.96
boarder	boarders	2.87
boarders	boarder	2.73
boarding	board	5.24
boarding	boards	4.31
boarding	boarded	3.47
boards	board	5.24
boards	boarding	3.96
boards	boarded	3.47
boat	boats	4.25
boat	boating	3.33
boat	boated	1.58
bob	bobs	2.94
bob	bobbing	2.85
bob	bobbed	2.38
body	bodies	4.69
bogie	bogies	2.30
bolt	bolts	3.62
bolt	bolted	3.25
bolt	bolting	2.57
bolted	bolt	4.04
bolted	bolts	3.62
bolted	bolting	2.57
bolting	bolt	4.04
bolting	bolts	3.62
bolting	bolted	3.25
bolts	bolt	4.04
bolts	bolted	3.25
bolts	bolting	2.57
bomb	bombs	4.15
bomb	bombing	4.09
bomb	bombed	3.62
bone	bones	4.32
bone	boned	2.88
bone	boning	2.50
boned	bone	4.47
boned	bones	4.32
boned	boning	2.50
bones	bone	4.47
bones	boned	2.88
bones	boning	2.50
bong	bongs	2.48
boning	bone	4.47
boning	bones	4.32
boning	boned	2.88
boo	booing	3.13
boo	booed	3.09
boo	boos	3.03
boob	boobs	3.90
boob	boobed	1.97
boob	boobing	0.00
